id	age	localisation	csp_student	csp_active	csp_other	subscription	travel_hour	weather_good	weather_mean	weather_hardcore	distance	expected_time_bus	expected_time_vlib	comfort_bus_good	comfort_bus_mean	comfort_bus_hardcore	time_bus	distance_vlib	parking_vlib	choice
26	21	100	1	0	0	1	10	0	1	0	2000	10	10	0	0	1	5	5	5	2
26	21	100	1	0	0	1	10	0	1	0	2000	10	10	1	0	0	0	1	10	1
26	21	100	1	0	0	1	10	0	1	0	2000	10	10	1	0	0	5	1	5	2
26	21	100	1	0	0	1	10	0	1	0	2000	10	10	1	0	0	15	1	1	2
26	21	100	1	0	0	1	10	0	1	0	2000	10	10	1	0	0	15	10	10	2
26	21	100	1	0	0	1	10	0	1	0	2000	10	10	1	0	0	15	5	5	2
27	24	200	0	1	0	0	18	0	1	0	2000	20	20	0	1	0	15	10	5	1
27	24	200	0	1	0	0	18	0	1	0	2000	20	20	0	1	0	5	5	10	1
27	24	200	0	1	0	0	18	0	1	0	2000	20	20	0	1	0	0	5	10	1
27	24	200	0	1	0	0	18	0	1	0	2000	20	20	0	0	1	0	1	10	1
27	24	200	0	1	0	0	18	0	1	0	2000	20	20	0	1	0	15	10	1	2
27	24	200	0	1	0	0	18	0	1	0	2000	20	20	0	0	1	15	10	1	2
27	24	200	0	1	0	0	18	0	1	0	2000	20	20	0	0	1	15	10	10	2
27	24	200	0	1	0	0	18	0	1	0	2000	20	20	0	1	0	0	1	1	1
28	22	300	1	0	0	0	16	0	1	0	2000	10	10	1	0	0	15	1	1	2
28	22	300	1	0	0	0	16	0	1	0	2000	10	10	1	0	0	5	1	5	1
28	22	300	1	0	0	0	16	0	1	0	2000	10	10	0	1	0	15	1	1	2
28	22	300	1	0	0	0	16	0	1	0	2000	10	10	1	0	0	0	1	10	1
28	22	300	1	0	0	0	16	0	1	0	2000	10	10	0	1	0	5	1	1	2
28	22	300	1	0	0	0	16	0	1	0	2000	10	10	0	0	1	15	5	5	2
29	21	200	1	0	0	0	8	0	1	0	3000	10	10	0	0	1	0	5	10	2
29	21	200	1	0	0	0	8	0	1	0	3000	10	10	1	0	0	0	10	1	1
29	21	200	1	0	0	0	8	0	1	0	3000	10	10	0	1	0	0	5	5	1
29	21	200	1	0	0	0	8	0	1	0	3000	10	10	1	0	0	5	1	1	2
29	21	200	1	0	0	0	8	0	1	0	3000	10	10	0	1	0	5	1	1	2
29	21	200	1	0	0	0	8	0	1	0	3000	10	10	0	0	1	15	1	10	2
30	22	500	1	0	0	1	20	0	1	0	500	10	10	0	1	0	0	1	5	1
30	22	500	1	0	0	1	20	0	1	0	500	10	10	0	0	1	0	1	5	2
30	22	500	1	0	0	1	20	0	1	0	500	10	10	0	1	0	5	5	10	1
30	22	500	1	0	0	1	20	0	1	0	500	10	10	0	1	0	5	10	5	1
30	22	500	1	0	0	1	20	0	1	0	500	10	10	1	0	0	5	1	10	1
30	22	500	1	0	0	1	20	0	1	0	500	10	10	1	0	0	15	1	10	2
31	23	30	0	1	0	0	9	0	1	0	2000	10	10	0	1	0	0	10	5	1
31	23	30	0	1	0	0	9	0	1	0	2000	10	10	0	0	1	0	5	10	1
31	23	30	0	1	0	0	9	0	1	0	2000	10	10	0	0	1	0	1	1	2
31	23	30	0	1	0	0	9	0	1	0	2000	10	10	1	0	0	5	1	1	1
31	23	30	0	1	0	0	9	0	1	0	2000	10	10	0	1	0	15	10	5	1
31	23	30	0	1	0	0	9	0	1	0	2000	10	10	1	0	0	0	1	5	1
32	23	200	1	0	0	1	17	1	0	0	6000	30	30	0	1	0	5	10	10	1
32	23	200	1	0	0	1	17	1	0	0	6000	30	30	0	0	1	15	1	10	2
32	23	200	1	0	0	1	17	1	0	0	6000	30	30	0	0	1	15	1	5	2
32	23	200	1	0	0	1	17	1	0	0	6000	30	30	0	1	0	5	5	5	2
32	23	200	1	0	0	1	17	1	0	0	6000	30	30	0	1	0	5	10	5	1
32	23	200	1	0	0	1	17	1	0	0	6000	30	30	1	0	0	15	1	10	2
33	24	200	0	1	0	0	8	1	0	0	2000	20	20	0	1	0	5	1	1	2
33	24	200	0	1	0	0	8	1	0	0	2000	20	20	1	0	0	0	1	1	1
33	24	200	0	1	0	0	8	1	0	0	2000	20	20	1	0	0	5	10	5	1
33	24	200	0	1	0	0	8	1	0	0	2000	20	20	1	0	0	0	10	10	1
33	24	200	0	1	0	0	8	1	0	0	2000	20	20	0	0	1	5	10	1	2
33	24	200	0	1	0	0	8	1	0	0	2000	20	20	0	0	1	0	5	10	2
34	21	200	1	0	0	0	18	1	0	0	4000	45	45	0	1	0	5	5	1	2
34	21	200	1	0	0	0	18	1	0	0	4000	45	45	0	0	1	5	5	5	2
34	21	200	1	0	0	0	18	1	0	0	4000	45	45	0	1	0	15	10	1	1
34	21	200	1	0	0	0	18	1	0	0	4000	45	45	0	0	1	0	1	5	2
34	21	200	1	0	0	0	18	1	0	0	4000	45	45	0	1	0	15	1	10	1
34	21	200	1	0	0	0	18	1	0	0	4000	45	45	0	0	1	0	1	1	2
35	24	200	1	0	0	1	18	0	1	0	2500	30	30	1	0	0	5	5	5	1
35	24	200	1	0	0	1	18	0	1	0	2500	30	30	1	0	0	15	1	1	2
35	24	200	1	0	0	1	18	0	1	0	2500	30	30	0	1	0	5	1	5	1
35	24	200	1	0	0	1	18	0	1	0	2500	30	30	0	0	1	15	1	1	2
35	24	200	1	0	0	1	18	0	1	0	2500	30	30	1	0	0	0	10	5	1
35	24	200	1	0	0	1	18	0	1	0	2500	30	30	0	0	1	0	1	10	2
36	23	500	1	0	0	0	17	1	0	0	1	5	5	1	0	0	5	1	10	1
36	23	500	1	0	0	0	17	1	0	0	1	5	5	1	0	0	0	5	5	1
36	23	500	1	0	0	0	17	1	0	0	1	5	5	0	1	0	0	10	1	1
36	23	500	1	0	0	0	17	1	0	0	1	5	5	0	1	0	15	5	1	2
36	23	500	1	0	0	0	17	1	0	0	1	5	5	0	0	1	0	1	5	2
36	23	500	1	0	0	0	17	1	0	0	1	5	5	0	1	0	5	10	1	2
37	21	800	1	0	0	0	19	1	0	0	25	25	25	0	1	0	15	10	5	2
37	21	800	1	0	0	0	19	1	0	0	25	25	25	0	1	0	0	5	5	1
37	21	800	1	0	0	0	19	1	0	0	25	25	25	1	0	0	5	10	1	1
37	21	800	1	0	0	0	19	1	0	0	25	25	25	0	1	0	0	1	5	1
37	21	800	1	0	0	0	19	1	0	0	25	25	25	0	0	1	5	1	5	2
37	21	800	1	0	0	0	19	1	0	0	25	25	25	1	0	0	5	5	10	1
38	21	200	1	0	0	0	9	0	1	0	5000	30	30	0	0	1	15	10	5	1
38	21	200	1	0	0	0	9	0	1	0	5000	30	30	1	0	0	0	1	1	1
38	21	200	1	0	0	0	9	0	1	0	5000	30	30	0	1	0	0	1	10	1
38	21	200	1	0	0	0	9	0	1	0	5000	30	30	0	0	1	15	1	1	1
38	21	200	1	0	0	0	9	0	1	0	5000	30	30	0	1	0	5	10	1	1
38	21	200	1	0	0	0	9	0	1	0	5000	30	30	0	1	0	5	5	5	1
39	23	50	1	0	0	1	15	1	0	0	500	10	10	1	0	0	0	10	10	1
39	23	50	1	0	0	1	15	1	0	0	500	10	10	0	1	0	0	5	10	1
