"id" "X" "Y" "capacity"
"1" 31705 2.4161707244259 48.8645278209514 50
"2" 10042 2.34839523628281 48.8724200630531 33
"3" 8020 2.31986005477421 48.8821489456319 44
"4" 1022 2.33049351139917 48.8682170167744 37
"5" 35014 2.41271573338868 48.8932686646974 25
"6" 20040 2.38422247271259 48.8703936716038 26
"7" 28002 2.24812549088851 48.8846863388601 60
"8" 15111 2.2957894803159 48.8346588627927 24
"9" 12124 2.43765533908295 48.8390411459082 55
"10" 9021 2.33744680420367 48.877872278318 22
"11" 7007 2.32580902462503 48.859710104435 65
"12" 20011 2.40516852063917 48.8555013539889 21
"13" 33006 2.38505201824411 48.9101436710038 29
"14" 5005 2.34192394486641 48.8447302561321 24
"15" 11029 2.38301344041578 48.8666176586814 40
"16" 4020 2.3501483359202 48.8600883261048 28
"17" 7012 2.31945401006142 48.854268334051 36
"18" 19019 2.39363751443361 48.8863896349246 22
"19" 14113 2.34157863455693 48.8351288650429 37
"20" 15028 2.29188931322812 48.8513967211235 69
"21" 22005 2.26099177209953 48.8842989293728 22
"22" 20027 2.40932246879487 48.8691543609174 15
"23" 18042 2.33626263901659 48.8827280905451 21
"24" 11008 2.38386933547444 48.8503797538799 40
"25" 19038 2.38903816084755 48.8755503947562 19
"26" 13037 2.36310607357747 48.824695995415 20
"27" 13040 2.36507858638901 48.8199419656772 44
"28" 16027 2.26848357065151 48.8528612487169 61
"29" 15118 2.32225737727924 48.8431988280709 22
"30" 6006 2.32933775588718 48.8447992885877 19
"31" 20015 2.398472 48.8571433920909 38
"32" 9005 2.34488440621221 48.8826334843108 33
"33" 8031 2.31071465537424 48.8697088479524 33
"34" 12015 2.39986827742879 48.8469643595031 36
"35" 9007 2.34539633898637 48.8798312251102 20
"36" 9019 2.33668100429512 48.881149033953 18
"37" 15040 2.30885001546654 48.8341171478377 36
"38" 14013 2.34210421455797 48.8212276633185 14
"39" 42201 2.39999842013299 48.8239632522869 26
"40" 11038 2.36531295078023 48.8657450770948 45
"41" 18019 2.33544742768979 48.8918779570874 49
"42" 17008 2.32247847786469 48.8987737928043 36
"43" 901 2.32442 48.86138 20
"44" 15064 2.2784139125938 48.8462949182689 45
"45" 12031 2.38547848656484 48.8351380506895 36
"46" 13021 2.34217680800433 48.8260351660585 47
"47" 34002 2.33051356484027 48.9025922416309 26
"48" 2005 2.34506844014476 48.8650219458101 15
"49" 22012 2.27740638127753 48.8827499154713 25
"50" 5104 2.35891268131767 48.841916179826 55
"51" 31008 2.43736866129498 48.857702134021 56
"52" 15062 2.28586265594394 48.8421443315782 36
"53" 4012 2.35790788213517 48.8557966374038 28
"54" 3011 2.35627844763363 48.8655841910852 31
"55" 20017 2.40884245740696 48.8569749400317 27
"56" 18028 2.33219933598001 48.894057251327 33
"57" 12024 2.38241 48.83976 35
"58" 11113 2.36932253040752 48.8665160798211 56
"59" 21015 2.24183519132459 48.8276004241283 23
"60" 42015 2.37243237603422 48.8180022698238 25
"61" 5002 2.34501583529859 48.8503104329245 35
"62" 10040 2.37634839464598 48.87277815649 48
"63" 13018 2.36682649962709 48.8348484529294 25
"64" 13026 2.35433694417225 48.8233161721775 34
"65" 19028 2.3922846297885 48.8764683397331 20
"66" 10008 2.35872446227434 48.8707649818776 18
"67" 6015 2.33911372289969 48.8537510734679 54
"68" 43006 2.43079345113368 48.8414868563002 28
"69" 15054 2.28758230704361 48.837970342012 19
"70" 11043 2.36705349044991 48.8626503001403 21
"71" 5024 2.35247243722336 48.8427350429896 21
"72" 15036 2.29514141310447 48.8430763869499 47
"73" 42504 2.34107065417259 48.8144401796238 30
"74" 6107 2.32755154921057 48.8502410871957 23
"75" 17029 2.29482820074442 48.8814111012194 36
"76" 13050 2.38444035460465 48.8283698938096 59
"77" 9020 2.33719063927171 48.8795052656248 21
"78" 14029 2.31339164711325 48.8342592499304 67
"79" 10029 2.3514643332019 48.880726685766 23
"80" 9004 2.34631937162712 48.8829110895394 21
"81" 10015 2.36249852869626 48.8741129165068 46
"82" 6029 2.34104050870596 48.8489229581858 24
"83" 12151 2.3726498446286 48.8455150897939 60
"84" 12019 2.39724999059738 48.8425771005154 28
"85" 13116 2.37220930964573 48.8202267926197 18
"86" 19114 2.37863702192026 48.879275195696 20
"87" 8025 2.31587630834637 48.8737604721401 33
"88" 18036 2.34592013331492 48.8994106815163 55
"89" 14033 2.3282908220517 48.8356804441726 38
"90" 22011 2.27853571712278 48.8794413696326 25
"91" 12032 2.40745551592605 48.835545043576 35
"92" 16110 2.27312852713658 48.8609983661382 21
